Customer ID,City,Country,Location Code,Gender,Marital Status,Education,Employment Status,Income (USD),Effective To Date,Customer Lifetime Value (USD),Coverage,Monthly Premium Auto (USD),Number of Policies,Policy Type,Policy,Months Since Policy Inception,Months Since Last Claim,Sales Channel,Response,Renew Offer Type,Number of Open Complaints,Total Claim Amount (USD),Vehicle Class,Vehicle Size
HO30839,Manama,Bahrain,Urban,F,Married,Master,Disabled,"10,511.00",12-Feb-11,"5,346.92",Extended,139.00,1,Corporate Auto,Corporate L1,64,33,Branch,No,Offer1,0,516.24,SUV,Medsize
GE62437,Saar,Bahrain,Suburban,F,Single,College,Employed,"86,584.00",2-Feb-11,"12,902.56",Premium,111.00,2,Personal Auto,Personal L3,54,33,Call Center,No,Offer1,2,532.80,Four-Door Car,Large
EJ77678,Jaww,Bahrain,Suburban,F,Married,Master,Employed,"75,690.00",7-Feb-11,"3,235.36",Extended,80.00,1,Personal Auto,Personal L3,44,17,Branch,No,Offer2,1,384.00,Four-Door Car,Small
SV85652,Saar,Bahrain,Suburban,M,Married,College,Employed,"23,158.00",28-Feb-11,"2,454.58",Basic,63.00,1,Personal Auto,Personal L2,6,4,Call Center,No,Offer4,1,322.29,Four-Door Car,Small
UL64533,Sitra,Bahrain,Urban,M,Married,High School or Below,Employed,"65,999.00",22-Jan-11,"18,975.46",Extended,237.00,6,Corporate Auto,Corporate L2,14,1,Agent,No,Offer2,0,615.93,Luxury SUV,Medsize
PF41800,Riffa,Bahrain,Urban,M,Married,Bachelor,Unemployed,0.00,25-Jan-11,"4,715.32",Basic,65.00,3,Personal Auto,Personal L3,56,19,Call Center,No,Offer1,0,308.15,Four-Door Car,Medsize
AO98601,Manama,Bahrain,Suburban,M,Married,Bachelor,Employed,"54,500.00",18-Jan-11,"5,018.89",Basic,63.00,6,Corporate Auto,Corporate L2,17,28,Agent,No,Offer1,0,302.40,Two-Door Car,Small
SK67821,Jaww,Bahrain,Rural,F,Married,Bachelor,Employed,"37,260.00",13-Feb-11,"4,932.92",Basic,62.00,8,Corporate Auto,Corporate L1,42,19,Web,No,Offer3,0,15.44,Four-Door Car,Medsize
YV55495,Saar,Bahrain,Urban,F,Married,High School or Below,Employed,"68,987.00",15-Jan-11,"5,744.23",Basic,71.00,6,Personal Auto,Personal L1,40,11,Branch,No,Offer1,0,204.48,Four-Door Car,Medsize
KY38074,Riffa,Bahrain,Suburban,M,Married,Bachelor,Employed,"42,305.00",8-Jan-11,"13,891.74",Premium,117.00,2,Personal Auto,Personal L3,62,10,Agent,No,Offer1,0,561.60,Four-Door Car,Small
DM79012,Jaww,Bahrain,Suburban,F,Married,Master,Employed,"65,706.00",6-Feb-11,"7,380.98",Extended,91.00,8,Personal Auto,Personal L3,86,19,Web,No,Offer2,0,436.80,Four-Door Car,Small
CM61827,Jaww,Bahrain,Suburban,M,Single,Bachelor,Unemployed,0.00,25-Jan-11,"3,090.03",Extended,90.00,1,Personal Auto,Personal L2,79,7,Agent,No,Offer3,0,648.00,Two-Door Car,Small
WC35801,Saar,Bahrain,Rural,M,Divorced,High School or Below,Employed,"53,243.00",7-Feb-11,"2,521.63",Basic,66.00,1,Personal Auto,Personal L3,15,4,Call Center,No,Offer1,2,157.40,Four-Door Car,Medsize
QG25316,Sitra,Bahrain,Suburban,F,Married,High School or Below,Unemployed,0.00,18-Jan-11,"2,652.06",Basic,70.00,1,Corporate Auto,Corporate L3,1,7,Call Center,No,Offer3,1,484.32,Two-Door Car,Medsize
MB98372,Jaww,Bahrain,Rural,F,Single,College,Employed,"50,071.00",11-Jan-11,"2,771.05",Basic,71.00,1,Corporate Auto,Corporate L3,32,3,Agent,Yes,Offer2,0,18.92,Two-Door Car,Medsize
IL19217,Riffa,Bahrain,Suburban,F,Married,Bachelor,Employed,"60,021.00",28-Jan-11,"3,939.01",Extended,99.00,1,Personal Auto,Personal L2,28,12,Agent,Yes,Offer2,0,882.87,Four-Door Car,Small
SR38658,Saar,Bahrain,Suburban,M,Married,High School or Below,Employed,"43,244.00",8-Feb-11,"12,231.88",Basic,103.00,2,Personal Auto,Personal L2,16,15,Agent,No,Offer4,0,494.40,Sports Car,Medsize
DH41343,Manama,Bahrain,Suburban,M,Married,College,Employed,"92,834.00",23-Feb-11,"2,443.67",Basic,61.00,1,Special Auto,Special L2,56,15,Call Center,No,Offer2,0,292.80,Four-Door Car,Large
HG65722,Jaww,Bahrain,Rural,F,Married,Doctor,Disabled,"10,105.00",25-Jan-11,"12,819.10",Premium,172.00,3,Personal Auto,Personal L2,4,5,Branch,No,Offer1,3,0.52,SUV,Medsize
BU27331,Saar,Bahrain,Suburban,M,Single,Bachelor,Unemployed,0.00,31-Jan-11,"4,468.51",Basic,73.00,5,Personal Auto,Personal L3,57,7,Call Center,No,Offer3,3,579.17,Four-Door Car,Medsize
XM45289,Jaww,Bahrain,Suburban,F,Single,High School or Below,Employed,"23,218.00",2-Jan-11,"5,514.34",Basic,71.00,4,Personal Auto,Personal L2,10,7,Agent,No,Offer4,0,447.79,Two-Door Car,Medsize
KP34198,Riffa,Bahrain,Suburban,F,Married,Bachelor,Unemployed,0.00,7-Feb-11,"3,343.88",Extended,92.00,1,Corporate Auto,Corporate L2,77,11,Call Center,No,Offer2,0,529.62,Four-Door Car,Medsize
SH90947,Saar,Bahrain,Suburban,F,Married,High School or Below,Unemployed,0.00,18-Jan-11,"2,294.48",Basic,62.00,1,Personal Auto,Personal L2,56,11,Branch,No,Offer4,0,313.02,Four-Door Car,Medsize
WE95729,Jaww,Bahrain,Suburban,M,Married,College,Employed,"24,804.00",17-Jan-11,"36,707.43",Basic,104.00,2,Personal Auto,Personal L2,28,1,Agent,No,Offer1,0,593.83,SUV,Small
PY51963,Riffa,Bahrain,Suburban,F,Divorced,Bachelor,Employed,"33,190.00",11-Jan-11,"33,473.35",Basic,106.00,2,Corporate Auto,Corporate L1,95,18,Web,Yes,Offer1,0,508.80,SUV,Medsize
RB69909,Sitra,Bahrain,Rural,F,Married,High School or Below,Employed,"36,014.00",21-Feb-11,"7,983.43",Basic,69.00,2,Special Auto,Special L1,40,4,Branch,No,Offer4,3,173.96,Four-Door Car,Medsize
XR95069,Manama,Bahrain,Suburban,M,Single,Bachelor,Employed,"29,834.00",16-Feb-11,"4,854.75",Basic,64.00,3,Personal Auto,Personal L3,44,19,Agent,No,Offer4,0,307.20,Four-Door Car,Medsize
FR46645,Riffa,Bahrain,Suburban,M,Married,Bachelor,Disabled,"16,701.00",17-Jan-11,"4,294.00",Premium,113.00,1,Personal Auto,Personal L2,26,20,Branch,No,Offer1,0,831.63,Four-Door Car,Small
SY17488,Saar,Bahrain,Suburban,F,Divorced,College,Employed,"46,623.00",5-Feb-11,"7,164.40",Extended,91.00,3,Corporate Auto,Corporate L3,53,1,Call Center,No,Offer3,0,436.80,Four-Door Car,Small
AP67935,Riffa,Bahrain,Urban,M,Married,College,Employed,"64,749.00",13-Feb-11,"7,619.52",Basic,64.00,2,Special Auto,Special L2,59,24,Branch,No,Offer2,0,302.57,Four-Door Car,Medsize
FS37417,Saar,Bahrain,Suburban,F,Married,High School or Below,Unemployed,0.00,23-Feb-11,"3,958.00",Basic,101.00,1,Personal Auto,Personal L2,12,29,Call Center,No,Offer1,0,484.80,SUV,Small
ML29312,Jaww,Bahrain,Suburban,F,Divorced,High School or Below,Disabled,"16,969.00",28-Jan-11,"4,499.49",Extended,124.00,1,Personal Auto,Personal L3,47,34,Call Center,No,Offer1,2,704.77,SUV,Medsize
UB61619,Jaww,Bahrain,Suburban,F,Divorced,Master,Disabled,"11,621.00",28-Feb-11,"4,059.57",Premium,108.00,1,Personal Auto,Personal L1,98,4,Agent,No,Offer1,0,518.40,Four-Door Car,Medsize
CD86811,Saar,Bahrain,Suburban,M,Divorced,Bachelor,Retired,"17,622.00",2-Jan-11,"4,458.11",Basic,65.00,3,Personal Auto,Personal L1,36,1,Agent,Yes,Offer1,1,312.00,Four-Door Car,Medsize
RU83859,Riffa,Bahrain,Suburban,F,Married,Bachelor,Medical Leave,"11,489.00",22-Jan-11,"8,110.33",Premium,105.00,6,Personal Auto,Personal L3,50,4,Call Center,No,Offer1,0,504.00,Two-Door Car,Small
FG63582,Jaww,Bahrain,Suburban,M,Single,Bachelor,Unemployed,0.00,15-Jan-11,"3,339.76",Extended,94.00,1,Personal Auto,Personal L3,53,20,Agent,No,Offer1,0,863.33,Two-Door Car,Small
NN71951,Riffa,Bahrain,Rural,F,Married,High School or Below,Employed,"66,525.00",27-Jan-11,"24,261.02",Basic,100.00,2,Personal Auto,Personal L3,86,0,Agent,No,Offer1,0,104.33,SUV,Medsize
WB37082,Saar,Bahrain,Suburban,F,Single,Bachelor,Unemployed,0.00,23-Jan-11,"6,613.97",Basic,63.00,2,Personal Auto,Personal L3,28,21,Branch,No,Offer3,0,676.39,Four-Door Car,Large
SM52139,Manama,Bahrain,Suburban,M,Married,College,Employed,"33,663.00",31-Jan-11,"2,930.69",Basic,73.00,1,Personal Auto,Personal L3,71,29,Web,No,Offer3,0,350.40,Four-Door Car,Medsize
FL82372,Jaww,Bahrain,Suburban,F,Divorced,College,Employed,"22,547.00",26-Jan-11,"8,672.19",Basic,112.00,3,Corporate Auto,Corporate L3,60,7,Agent,No,Offer1,0,537.60,SUV,Medsize
DP45816,Saar,Bahrain,Urban,F,Married,High School or Below,Employed,"61,486.00",10-Jan-11,"11,638.67",Extended,97.00,2,Personal Auto,Personal L3,65,5,Branch,No,Offer4,0,465.26,Two-Door Car,Small
GW33762,Jaww,Bahrain,Suburban,F,Divorced,Bachelor,Unemployed,0.00,27-Jan-11,"6,846.15",Extended,95.00,5,Personal Auto,Personal L3,20,13,Call Center,Yes,Offer1,0,456.00,Two-Door Car,Large
RZ33670,Riffa,Bahrain,Suburban,F,Married,College,Disabled,"29,879.00",9-Jan-11,"11,727.78",Premium,102.00,2,Personal Auto,Personal L3,0,17,Web,No,Offer3,0,500.25,Four-Door Car,Medsize
PY70169,Jaww,Bahrain,Rural,M,Divorced,High School or Below,Employed,"93,011.00",24-Feb-11,"22,643.83",Basic,113.00,2,Personal Auto,Personal L3,12,17,Agent,No,Offer4,0,281.45,SUV,Medsize
MO91628,Jaww,Bahrain,Rural,M,Married,Master,Employed,"65,186.00",11-Feb-11,"2,614.47",Basic,65.00,1,Personal Auto,Personal L2,27,29,Web,No,Offer2,0,5.43,Two-Door Car,Large
HW87852,Jaww,Bahrain,Suburban,M,Married,Master,Medical Leave,"26,840.00",12-Feb-11,"2,451.75",Basic,64.00,1,Personal Auto,Personal L1,47,1,Agent,No,Offer1,2,307.20,Four-Door Car,Medsize
HB20453,Jaww,Bahrain,Suburban,M,Single,Bachelor,Unemployed,0.00,4-Feb-11,"6,781.27",Basic,104.00,5,Personal Auto,Personal L3,3,30,Agent,No,Offer1,1,982.40,Sports Car,Medsize
BN87372,Jaww,Bahrain,Suburban,M,Divorced,Bachelor,Employed,"75,644.00",18-Jan-11,"4,974.80",Basic,65.00,9,Personal Auto,Personal L3,68,5,Branch,Yes,Offer2,3,467.80,Two-Door Car,Medsize
YX23800,Jaww,Bahrain,Suburban,M,Married,Bachelor,Employed,"38,984.00",11-Feb-11,"8,591.60",Basic,73.00,2,Personal Auto,Personal L3,38,27,Branch,No,Offer2,0,350.40,Four-Door Car,Small
DZ87709,Jaww,Bahrain,Rural,F,Single,High School or Below,Employed,"71,811.00",1-Feb-11,"5,592.16",Basic,71.00,6,Personal Auto,Personal L1,48,17,Call Center,No,Offer2,0,29.03,Four-Door Car,Medsize
XW13033,Sitra,Bahrain,Suburban,M,Married,College,Employed,"20,961.00",15-Feb-11,"8,009.47",Basic,67.00,2,Personal Auto,Personal L1,33,20,Agent,No,Offer2,0,321.60,Four-Door Car,Medsize
LN31673,Manama,Bahrain,Rural,M,Married,College,Employed,"38,923.00",6-Feb-11,"11,318.09",Extended,99.00,2,Personal Auto,Personal L3,83,6,Agent,No,Offer1,2,115.73,Four-Door Car,Medsize
OM82309,Riffa,Bahrain,Rural,M,Single,Bachelor,Employed,"61,321.00",27-Feb-11,"58,166.55",Basic,186.00,2,Personal Auto,Personal L3,30,0,Branch,No,Offer2,1,427.63,Luxury Car,Small
ZU35962,Riffa,Bahrain,Rural,F,Single,College,Unemployed,0.00,26-Jan-11,"8,025.23",Extended,77.00,2,Personal Auto,Personal L3,26,20,Branch,No,Offer3,0,25.81,Two-Door Car,Large
VH85817,Riffa,Bahrain,Suburban,M,Single,High School or Below,Employed,"51,066.00",26-Feb-11,"5,780.18",Basic,74.00,8,Personal Auto,Personal L3,0,23,Call Center,Yes,Offer2,0,787.99,Four-Door Car,Medsize
DT85712,Riffa,Bahrain,Suburban,M,Married,Doctor,Employed,"34,378.00",27-Jan-11,"4,118.54",Basic,102.00,1,Personal Auto,Personal L1,54,12,Branch,No,Offer3,0,489.60,SUV,Medsize
YJ88573,Sitra,Bahrain,Suburban,M,Married,Master,Employed,"43,072.00",16-Jan-11,"2,523.07",Basic,63.00,1,Personal Auto,Personal L3,15,35,Call Center,No,Offer2,0,302.40,Four-Door Car,Large
SQ19467,Jaww,Bahrain,Suburban,F,Single,College,Disabled,"25,222.00",27-Jan-11,"6,554.22",Extended,90.00,3,Personal Auto,Personal L3,69,28,Agent,No,Offer2,0,475.62,Four-Door Car,Small
HF88410,Manama,Bahrain,Suburban,M,Married,High School or Below,Employed,"36,765.00",28-Feb-11,"7,703.40",Basic,66.00,2,Personal Auto,Personal L2,32,15,Call Center,No,Offer1,1,320.85,Four-Door Car,Medsize
ET79815,Riffa,Bahrain,Suburban,M,Married,College,Retired,"23,091.00",25-Jan-11,"5,926.73",Extended,96.00,5,Personal Auto,Personal L1,90,28,Agent,Yes,Offer1,5,460.80,Four-Door Car,Medsize
QC35222,Riffa,Bahrain,Urban,F,Married,Bachelor,Employed,"48,269.00",1-Jan-11,"2,683.47",Basic,69.00,1,Corporate Auto,Corporate L2,79,3,Web,No,Offer3,3,282.15,Four-Door Car,Medsize
CJ15590,Jaww,Bahrain,Suburban,F,Divorced,Bachelor,Employed,"32,720.00",1-Feb-11,"2,695.18",Basic,67.00,1,Personal Auto,Personal L2,12,13,Branch,No,Offer3,0,321.60,Four-Door Car,Medsize
OI48267,Riffa,Bahrain,Suburban,M,Married,College,Employed,"20,396.00",19-Feb-11,"6,047.03",Extended,76.00,4,Personal Auto,Personal L3,60,15,Branch,Yes,Offer1,1,364.80,Four-Door Car,Medsize
JY67916,Jaww,Bahrain,Suburban,M,Married,College,Medical Leave,"21,513.00",27-Jan-11,"13,171.01",Premium,119.00,2,Personal Auto,Personal L3,81,21,Branch,No,Offer2,1,679.83,Two-Door Car,Small
OE75231,Manama,Bahrain,Suburban,F,Married,Bachelor,Employed,"72,540.00",27-Feb-11,"10,656.88",Extended,88.00,2,Corporate Auto,Corporate L3,3,7,Call Center,Yes,Offer2,0,631.74,Two-Door Car,Medsize
CZ33664,Jaww,Bahrain,Rural,F,Married,Bachelor,Employed,"80,744.00",17-Jan-11,"2,527.65",Basic,63.00,1,Corporate Auto,Corporate L3,84,24,Agent,No,Offer1,0,11.88,Four-Door Car,Medsize
WK30175,Jaww,Bahrain,Suburban,M,Married,Bachelor,Employed,"52,822.00",10-Feb-11,"2,672.10",Basic,67.00,1,Corporate Auto,Corporate L1,88,23,Branch,No,Offer1,0,350.53,Two-Door Car,Small
ON44465,Riffa,Bahrain,Suburban,F,Single,High School or Below,Unemployed,0.00,24-Jan-11,"5,313.29",Extended,77.00,9,Personal Auto,Personal L2,10,8,Agent,No,Offer1,1,863.39,Four-Door Car,Medsize
TV87155,Jaww,Bahrain,Suburban,F,Married,Bachelor,Employed,"69,738.00",24-Feb-11,"20,946.19",Basic,74.00,2,Personal Auto,Personal L3,26,2,Branch,No,Offer1,1,492.13,Four-Door Car,Large
KH48895,Saar,Bahrain,Rural,F,Married,Master,Medical Leave,"17,780.00",15-Feb-11,"8,375.35",Basic,109.00,9,Personal Auto,Personal L3,18,12,Branch,No,Offer1,0,132.59,SUV,Medsize
NZ30757,Riffa,Bahrain,Suburban,M,Married,Bachelor,Medical Leave,"18,107.00",16-Feb-11,"4,801.66",Basic,62.00,8,Personal Auto,Personal L2,11,29,Agent,No,Offer1,0,297.60,Four-Door Car,Medsize
RI22468,Saar,Bahrain,Urban,F,Married,Bachelor,Employed,"57,740.00",22-Jan-11,"5,745.94",Basic,74.00,9,Personal Auto,Personal L1,87,30,Web,No,Offer3,3,269.91,Four-Door Car,Medsize
FZ30935,Jaww,Bahrain,Suburban,M,Married,College,Employed,"32,627.00",25-Feb-11,"6,066.12",Extended,76.00,7,Personal Auto,Personal L2,60,11,Agent,No,Offer1,0,380.04,Two-Door Car,Small
UG93476,Riffa,Bahrain,Suburban,F,Married,College,Unemployed,0.00,11-Jan-11,"8,002.31",Basic,107.00,3,Personal Auto,Personal L3,65,3,Agent,Yes,Offer1,0,513.60,SUV,Medsize
AB96670,Riffa,Bahrain,Suburban,M,Single,College,Unemployed,0.00,31-Jan-11,"2,393.92",Basic,70.00,1,Personal Auto,Personal L1,10,24,Branch,Yes,Offer1,0,425.27,Four-Door Car,Medsize
XK64261,Jaww,Bahrain,Rural,M,Single,Bachelor,Employed,"65,795.00",12-Jan-11,"4,762.82",Basic,62.00,3,Corporate Auto,Corporate L3,85,2,Call Center,No,Offer3,1,49.01,Two-Door Car,Medsize
EV68375,Riffa,Bahrain,Suburban,M,Married,College,Employed,"60,475.00",16-Feb-11,"4,330.39",Premium,107.00,1,Personal Auto,Personal L3,18,9,Branch,Yes,Offer2,0,513.60,Four-Door Car,Medsize
UN51653,Riffa,Bahrain,Suburban,F,Single,High School or Below,Unemployed,0.00,9-Feb-11,"9,402.73",Extended,130.00,4,Personal Auto,Personal L3,88,28,Web,No,Offer1,0,936.00,SUV,Medsize
TO96662,Jaww,Bahrain,Rural,F,Married,Bachelor,Employed,"41,837.00",19-Jan-11,"6,966.69",Extended,88.00,9,Personal Auto,Personal L3,93,29,Call Center,No,Offer1,0,142.06,Four-Door Car,Small
MR52087,Riffa,Bahrain,Rural,F,Married,Bachelor,Employed,"32,303.00",4-Jan-11,"7,694.06",Basic,65.00,2,Personal Auto,Personal L1,34,13,Branch,No,Offer3,0,45.15,Four-Door Car,Medsize
DE75225,Jaww,Bahrain,Suburban,M,Married,High School or Below,Unemployed,0.00,9-Jan-11,"8,717.56",Basic,117.00,3,Personal Auto,Personal L1,89,5,Agent,No,Offer1,1,561.60,SUV,Medsize
EP80820,Riffa,Bahrain,Rural,F,Married,Bachelor,Employed,"40,531.00",27-Jan-11,"5,928.75",Basic,74.00,9,Personal Auto,Personal L3,32,17,Agent,No,Offer1,0,30.57,Two-Door Car,Medsize
GU99037,Jaww,Bahrain,Urban,M,Married,College,Employed,"79,898.00",14-Feb-11,"2,452.98",Basic,62.00,1,Corporate Auto,Corporate L1,86,5,Agent,No,Offer4,1,271.61,Four-Door Car,Medsize
WI57118,Riffa,Bahrain,Suburban,M,Married,College,Employed,"56,398.00",27-Feb-11,"6,701.57",Extended,85.00,7,Personal Auto,Personal L3,18,4,Agent,No,Offer4,0,408.00,Four-Door Car,Small
YQ74870,Manama,Bahrain,Suburban,M,Divorced,High School or Below,Employed,"35,257.00",12-Feb-11,"7,556.24",Extended,98.00,8,Corporate Auto,Corporate L2,2,16,Web,No,Offer2,1,470.40,Four-Door Car,Small
MQ14219,Saar,Bahrain,Suburban,M,Married,College,Employed,"27,804.00",26-Feb-11,"8,492.70",Basic,109.00,7,Personal Auto,Personal L3,54,19,Branch,No,Offer2,0,784.80,SUV,Medsize
KN20603,Jaww,Bahrain,Suburban,M,Single,Bachelor,Employed,"45,506.00",20-Feb-11,"7,713.49",Basic,66.00,2,Personal Auto,Personal L3,32,16,Agent,No,Offer1,2,316.80,Four-Door Car,Medsize
CR48975,Manama,Bahrain,Suburban,M,Married,High School or Below,Employed,"65,196.00",2-Feb-11,"24,084.54",Basic,67.00,2,Personal Auto,Personal L2,54,0,Branch,No,Offer4,0,396.08,Four-Door Car,Medsize
JI70886,Riffa,Bahrain,Suburban,M,Married,High School or Below,Unemployed,0.00,15-Feb-11,"7,290.07",Basic,102.00,3,Corporate Auto,Corporate L2,70,11,Agent,No,Offer1,1,489.60,SUV,Medsize
VF72557,Jaww,Bahrain,Suburban,M,Divorced,High School or Below,Retired,"20,993.00",18-Feb-11,"4,772.94",Extended,133.00,1,Personal Auto,Personal L3,90,35,Agent,Yes,Offer2,0,638.40,SUV,Medsize
OX28638,Saar,Bahrain,Suburban,M,Married,High School or Below,Employed,"37,839.00",21-Jan-11,"6,806.49",Extended,86.00,9,Personal Auto,Personal L3,77,35,Branch,No,Offer2,0,465.63,Two-Door Car,Medsize
SK55033,Riffa,Bahrain,Suburban,F,Single,Bachelor,Employed,"92,711.00",15-Jan-11,"2,469.78",Basic,62.00,1,Personal Auto,Personal L2,10,24,Agent,No,Offer3,0,368.40,Two-Door Car,Medsize
OO88645,Riffa,Bahrain,Urban,F,Married,College,Employed,"74,665.00",5-Feb-11,"3,103.92",Extended,78.00,1,Corporate Auto,Corporate L2,90,10,Call Center,No,Offer2,2,236.90,Four-Door Car,Medsize
